,index,Category,Category_Gender,Medal,Athlete_Full_Name,Country_IMG_URL,Country_Code,Sport_Event
400,400,Hockey,Men,Bronze,India,https://www.olympedia.org/images/flags/IND.png,IND,Hockey
401,401,Extra-Lightweight,Men,Gold,Naohisa Takato,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
402,402,Extra-Lightweight,Men,Silver,Yang Yung-Wei,https://www.olympedia.org/images/flags/TPE.png,TPE,Judo
403,403,Extra-Lightweight,Men,Bronze,Yeldos Smetov,https://www.olympedia.org/images/flags/KAZ.png,KAZ,Judo
404,404,Extra-Lightweight,Men,Bronze,Luka Mkheidze,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
405,405,Half-Lightweight,Men,Gold,Hifumi Abe,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
406,406,Half-Lightweight,Men,Silver,Vazha Margvelashvili,https://www.olympedia.org/images/flags/GEO.png,GEO,Judo
407,407,Half-Lightweight,Men,Bronze,An Ba-Ul,https://www.olympedia.org/images/flags/KOR.png,KOR,Judo
408,408,Half-Lightweight,Men,Bronze,Daniel Cargnin,https://www.olympedia.org/images/flags/BRA.png,BRA,Judo
409,409,Lightweight,Men,Gold,Shohei Ono,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
410,410,Lightweight,Men,Silver,Lasha Shavdatuashvili,https://www.olympedia.org/images/flags/GEO.png,GEO,Judo
411,411,Lightweight,Men,Bronze,An Chang-Rim,https://www.olympedia.org/images/flags/KOR.png,KOR,Judo
412,412,Lightweight,Men,Bronze,Tsend-Ochiryn Tsogtbaatar,https://www.olympedia.org/images/flags/MGL.png,MGL,Judo
413,413,Half-Middleweight,Men,Gold,Takanori Nagase,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
414,414,Half-Middleweight,Men,Silver,Saeid Mollaei,https://www.olympedia.org/images/flags/MGL.png,MGL,Judo
415,415,Half-Middleweight,Men,Bronze,Shamil Borchashvili,https://www.olympedia.org/images/flags/AUT.png,AUT,Judo
416,416,Half-Middleweight,Men,Bronze,Matthias Casse,https://www.olympedia.org/images/flags/BEL.png,BEL,Judo
417,417,Middleweight,Men,Gold,Lasha Bekauri,https://www.olympedia.org/images/flags/GEO.png,GEO,Judo
418,418,Middleweight,Men,Silver,Eduard Trippel,https://www.olympedia.org/images/flags/GER.png,GER,Judo
419,419,Middleweight,Men,Bronze,Davlat Bobonov,https://www.olympedia.org/images/flags/UZB.png,UZB,Judo
420,420,Middleweight,Men,Bronze,Krisztián Tóth,https://www.olympedia.org/images/flags/HUN.png,HUN,Judo
421,421,Half-Heavyweight,Men,Gold,Aaron Wolf,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
422,422,Half-Heavyweight,Men,Silver,Jo Gu-Ham,https://www.olympedia.org/images/flags/KOR.png,KOR,Judo
423,423,Half-Heavyweight,Men,Bronze,Jorge Fonseca,https://www.olympedia.org/images/flags/POR.png,POR,Judo
424,424,Half-Heavyweight,Men,Bronze,Niyaz Ilyasov,https://www.olympedia.org/images/flags/ROC.png,ROC,Judo
425,425,Heavyweight,Men,Gold,Lukáš Krpálek,https://www.olympedia.org/images/flags/CZE.png,CZE,Judo
426,426,Heavyweight,Men,Silver,Guram Tushishvili,https://www.olympedia.org/images/flags/GEO.png,GEO,Judo
427,427,Heavyweight,Men,Bronze,Teddy Riner,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
428,428,Heavyweight,Men,Bronze,Tamerlan Bashayev,https://www.olympedia.org/images/flags/ROC.png,ROC,Judo
429,429,Extra-Lightweight,Women,Gold,Distria Krasniqi,https://www.olympedia.org/images/flags/KOS.png,KOS,Judo
430,430,Extra-Lightweight,Women,Silver,Funa Tonaki,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
431,431,Extra-Lightweight,Women,Bronze,Dariya Bilodid,https://www.olympedia.org/images/flags/UKR.png,UKR,Judo
432,432,Extra-Lightweight,Women,Bronze,Mönkhbatyn Urantsetseg,https://www.olympedia.org/images/flags/MGL.png,MGL,Judo
433,433,Half-Lightweight,Women,Gold,Uta Abe,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
434,434,Half-Lightweight,Women,Silver,Amandine Buchard,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
435,435,Half-Lightweight,Women,Bronze,Odette Giuffrida,https://www.olympedia.org/images/flags/ITA.png,ITA,Judo
436,436,Half-Lightweight,Women,Bronze,Chelsie Giles,https://www.olympedia.org/images/flags/GBR.png,GBR,Judo
437,437,Lightweight,Women,Gold,Nora Gjakova,https://www.olympedia.org/images/flags/KOS.png,KOS,Judo
438,438,Lightweight,Women,Silver,Sarah-Léonie Cysique,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
439,439,Lightweight,Women,Bronze,Tsukasa Yoshida,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
440,440,Lightweight,Women,Bronze,Jessica Klimkait,https://www.olympedia.org/images/flags/CAN.png,CAN,Judo
441,441,Half-Middleweight,Women,Gold,Clarisse Agbegnenou,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
442,442,Half-Middleweight,Women,Silver,Tina Trstenjak,https://www.olympedia.org/images/flags/SLO.png,SLO,Judo
443,443,Half-Middleweight,Women,Bronze,Maria Centracchio,https://www.olympedia.org/images/flags/ITA.png,ITA,Judo
444,444,Half-Middleweight,Women,Bronze,Catherine Beauchemin-Pinard,https://www.olympedia.org/images/flags/CAN.png,CAN,Judo
445,445,Middleweight,Women,Gold,Chizuru Arai,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
446,446,Middleweight,Women,Silver,Michaela Polleres,https://www.olympedia.org/images/flags/AUT.png,AUT,Judo
447,447,Middleweight,Women,Bronze,Madina Taymazova,https://www.olympedia.org/images/flags/ROC.png,ROC,Judo
448,448,Middleweight,Women,Bronze,Sanne van Dijke,https://www.olympedia.org/images/flags/NED.png,NED,Judo
449,449,Half-Heavyweight,Women,Gold,Shori Hamada,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
450,450,Half-Heavyweight,Women,Silver,Madeleine Malonga,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
451,451,Half-Heavyweight,Women,Bronze,Anna-Maria Wagner,https://www.olympedia.org/images/flags/GER.png,GER,Judo
452,452,Half-Heavyweight,Women,Bronze,Mayra Aguiar,https://www.olympedia.org/images/flags/BRA.png,BRA,Judo
453,453,Heavyweight,Women,Gold,Akira Sone,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
454,454,Heavyweight,Women,Silver,Idalys Ortiz,https://www.olympedia.org/images/flags/CUB.png,CUB,Judo
455,455,Heavyweight,Women,Bronze,Iryna Kindzerska,https://www.olympedia.org/images/flags/AZE.png,AZE,Judo
456,456,Heavyweight,Women,Bronze,Romane Dicko,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
457,457,Team,Mixed,Gold,France,https://www.olympedia.org/images/flags/FRA.png,FRA,Judo
458,458,Team,Mixed,Silver,Japan,https://www.olympedia.org/images/flags/JPN.png,JPN,Judo
459,459,Team,Mixed,Bronze,GermanyIsrael,https://www.olympedia.org/images/flags/GER.png,GER,Judo
460,460,Kata,Men,Gold,Ryo Kiyuna,https://www.olympedia.org/images/flags/JPN.png,JPN,Karate
461,461,Kata,Men,Silver,Damián Quintero,https://www.olympedia.org/images/flags/ESP.png,ESP,Karate
462,462,Kata,Men,Bronze,Ali Sofuoğlu,https://www.olympedia.org/images/flags/TUR.png,TUR,Karate
463,463,Kata,Men,Bronze,Ariel Torres,https://www.olympedia.org/images/flags/USA.png,USA,Karate
464,464,"Kumite, ≤67 kg",Men,Gold,Steven Da Costa,https://www.olympedia.org/images/flags/FRA.png,FRA,Karate
465,465,"Kumite, ≤67 kg",Men,Silver,Eray Şamdan,https://www.olympedia.org/images/flags/TUR.png,TUR,Karate
