Title,Genre(s),Developer(s),Publisher(s),Release date(Japan),Release date(NA),Release date(Australasia),Release date(Europe)
Miko Mole,Simulation,Skunk Software,Skunk Software,Unreleased,"June 4, 2016",Unreleased,Unreleased
MikroGame: Rotator,Actionarcade,Studio de la Torre,Studio de la Torre,Unreleased,"August 18, 2016",Unreleased,"September 15, 2016"
Minecraft: Story Mode - The Complete Adventure,Graphic adventureinteractive movie,Telltale Games,Mojang,Unreleased,"December 13, 2016","December 16, 2016","December 16, 2016"
Minecraft: Wii U Edition,Sandbox,4J Studios,JP: MicrosoftWW: Mojang,"December 17, 2015","December 17, 2015","December 17, 2015","December 17, 2015"
Mini Mario & Friends: Amiibo Challenge,Puzzle,Nintendo,Nintendo,"January 28, 2016","April 28, 2016","April 29, 2016","April 28, 2016"
Mini-Games Madness Volume #1: Hello World!,Party,Skunk Software,Skunk Software,Unreleased,"January 28, 2016",Unreleased,Unreleased
Minna de Uchū Tour: ChariSou DX 2,Action,Spicysoft,Spicysoft,"October 14, 2015",Unreleased,Unreleased,Unreleased
The Misshitsukara no Dasshutsu: Subete no Hajimari 16 no Nazo,Point-and-click adventure,Intense,D3 Publisher,"April 9, 2014",Unreleased,Unreleased,Unreleased
The Misshitsukara no Dasshutsu 2: Kesareta 19 no Kioku,Point-and-click adventure,Intense,D3 Publisher,"August 6, 2014",Unreleased,Unreleased,Unreleased
Molly Maggot,Action-adventure,Gnobsoftware,Gnobsoftware,Unreleased,"December 31, 2015",Unreleased,Unreleased
Momonga Pinball Adventures,Pinball,Paladin Studios,Paladin Studios,"December 17, 2015","October 15, 2015",Unreleased,"October 15, 2015"
Mon Premier Karaoké,Music,Ring Zero,Ring Zero,Unreleased,"April 2, 2015",Unreleased,"September 18, 2014"
Monkey Pirates,Party,Henchmen Studio,Henchmen Studio,Unreleased,"June 26, 2014",Unreleased,"June 19, 2014"
Monster High: 13 Wishes,Action,Little Orbit,NA: Little OrbitEU: Namco Bandai Games,Unreleased,"October 29, 2013",Unreleased,"November 22, 2013"
Monster High: New Ghoul in School,Action-adventure,Little Orbit,Little Orbit,Unreleased,"November 17, 2015",Unreleased,"November 23, 2015"
Monster Hunter 3 Ultimate,Action role-playing,Capcom,Capcom,"December 8, 2012","March 19, 2013","March 23, 2013","March 22, 2013"
Monster Hunter: Frontier G,Action role-playing,Capcom,Capcom,"December 11, 2013",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G Genuine,Action role-playing,Capcom,Capcom,"April 23, 2014",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G5,Action role-playing,Capcom,Capcom,"July 23, 2014",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G6,Action role-playing,Capcom,Capcom,"November 19, 2014",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G7,Action role-playing,Capcom,Capcom,"April 15, 2015",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G8,Action role-playing,Capcom,Capcom,"July 22, 2015",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G9,Action role-playing,Capcom,Capcom,"November 18, 2015",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier G10,Action role-playing,Capcom,Capcom,"April 21, 2016",Unreleased,Unreleased,Unreleased
Monster Hunter: Frontier Z,Action role-playing,Capcom,Capcom,"November 9, 2016",Unreleased,Unreleased,Unreleased
Mop: Operation Cleanup,"Action, adventure, arcade",EnsenaSoft,EnsenaSoft,Unreleased,"April 20, 2017",Unreleased,Unreleased
Mortar Melon,Puzzlestrategy,MudvarkNitrolic Games,Nitrolic Games,Unreleased,"August 20, 2015",Unreleased,"August 11, 2016"
Mountain Peak Battle Mess,Arcade,RandomSpin,RandomSpin,Unreleased,"October 24, 2019",Unreleased,"October 24, 2019"
Mr. Pumpkin Adventure,Adventurepuzzle,CottenGame,Circle Entertainment,Unreleased,"October 20, 2016",Unreleased,"October 27, 2016"
Mutant Alien Moles of the Dead,Action,Pixel Bones Studios,EnjoyUp Games,Unreleased,"June 15, 2017",Unreleased,"March 30, 2017"
Mutant Mudds Deluxe,Platform,Renegade Kid,Renegade Kid,"June 24, 2015","June 13, 2013",Unreleased,Unreleased
Mutant Mudds Super Challenge,Platform,Renegade Kid,Renegade Kid,Unreleased,"March 17, 2016","March 17, 2016","March 17, 2016"
My Arctic Farm,Simulation,Bip Media,Bip Media,Unreleased,"June 26, 2014",Unreleased,Unreleased
My Exotic Farm,Simulation,Bip Media,Bip Media,Unreleased,"April 10, 2014",Unreleased,"April 17, 2014"
My Farm,Simulation,Bip Media,Bip Media,Unreleased,"February 27, 2014",Unreleased,"February 6, 2014"
My First Songs,Music,RingZero Game Studio,RingZero Game Studio,Unreleased,"April 17, 2014",Unreleased,"June 12, 2014"
My Jurassic Farm,Simulation,Bip Media,Bip Media,Unreleased,"June 26, 2014",Unreleased,Unreleased
My Style Studio: Hair Salon,Simulation,Cypronia,Cypronia,Unreleased,"March 27, 2014",Unreleased,"October 23, 2014"
The Mysterious Cities of Gold: Secret Paths,Puzzlestealth,Neko Entertainment,Ynnis Interactive,Unreleased,"November 21, 2013","November 21, 2013","November 21, 2013"
Nano Assault Neo,Shoot 'em up,Shin'en Multimedia,JP: Arc System WorksWW: Shin'en Multimedia,"February 27, 2013","November 18, 2012","November 30, 2012","November 30, 2012"
NBA 2K13,Sports,Visual Concepts,2K Sports,Unreleased,"November 18, 2012","December 27, 2012","December 28, 2012"
Near Earth Objects,"Action, adventure",Jay X Townsend,Form Up Studios,Unreleased,"January 14, 2016",Unreleased,Unreleased
Need for Speed: Most Wanted U,Racing,Criterion Games,Electronic Arts,"March 20, 2013","March 19, 2013","March 21, 2013","March 22, 2013"
Neon Battle,Sports,Helix Games,Helix Games,Unreleased,"July 9, 2015",Unreleased,Unreleased
NES Remix,Action,Nintendo EADIndies Zero,Nintendo,"December 19, 2013","December 18, 2013","December 18, 2013","December 18, 2013"
NES Remix 2,Action,Nintendo EADIndies Zero,Nintendo,"April 24, 2014","April 25, 2014","April 25, 2014","April 25, 2014"
Never Alone,Puzzle platformer,E-Line MediaUpper One Games,E-Line Media,"August 19, 2015","June 25, 2015",Unreleased,"July 9, 2015"
New Super Luigi U,Platform,Nintendo EAD,Nintendo,"June 19, 2013","June 20, 2013","June 20, 2013","June 20, 2013"
New Super Mario Bros. U,Platform,Nintendo EAD,Nintendo,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Nihilumbra,Puzzleplatform,BeautiFun Games,BeautiFun Games,"December 9, 2015","May 14, 2015","May 14, 2015","May 14, 2015"
Ninja Gaiden 3: Razor's Edge,Action-adventurehack and slash,Team Ninja,JP: Tecmo KoeiWW: Nintendo,"December 8, 2012","November 18, 2012","May 13, 2013","January 11, 2013"
Ninja Pizza Girl,Actionadventure,Disperity Games,Disperity Games,"November 9, 2016","October 6, 2016",Unreleased,"October 6, 2016"
Ninja Strike: Dangerous Dash,Platform,Natsume,Natsume,Unreleased,"October 15, 2015",Unreleased,"November 19, 2015"
Nintendo Game Seminar 2013 Jukousei Sakuhin,Party,Nintendo,Nintendo,"June 19, 2014",Unreleased,Unreleased,Unreleased
Nintendo Land,Party,Nintendo EAD,Nintendo,"December 8, 2012","November 18, 2012","November 30, 2012","November 30, 2012"
Noitu Love: Devolution,Action,Joakim SandbergMP2 Games,MP2 Games,"September 15, 2016","September 15, 2016","September 15, 2016","September 22, 2016"
Nova-111,Real-time strategypuzzle,Funktronic Labs,Curve Digital,Unreleased,"September 24, 2015",Unreleased,"September 24, 2015"
Now I know my ABCs,Edutainment,Skunk Software,Skunk Software,Unreleased,"March 31, 2016",Unreleased,Unreleased
Octocopter: Super Sub Squid Escape,Actionpuzzle,Tacs Games,Tacs Games,Unreleased,"November 24, 2016",Unreleased,"November 24, 2016"
Octodad: Dadliest Catch,Adventure,Young Horses,Young Horses,Unreleased,"October 29, 2015","January 15, 2016","October 30, 2015"
Oddworld: Abe's Oddysee – New 'n' Tasty!,Platformpuzzle,Just Add Water,Oddworld Inhabitants,Unreleased,"February 11, 2016","February 11, 2016","February 11, 2016"
Ohayou! Beginner's Japanese,Edutainment,Finger Gun Games,Finger Gun Games,Unreleased,"November 17, 2016",Unreleased,"November 24, 2016"
OlliOlli,Sports,Roll7Curve Digital,Curve Digital,Unreleased,"March 5, 2015","March 5, 2015","March 5, 2015"
Olympia Rising,Actionplatformer,PlayEveryWare,PlayEveryWare,Unreleased,"June 9, 2016","April 15, 2016","April 14, 2016"
One Piece: Unlimited World Red,Action-adventure,Ganbarion,Bandai Namco Games,"June 12, 2014","July 8, 2014","June 26, 2014","June 27, 2014"
Orbit,Arcadepuzzlestrategyfirst-person shooter,RCMADIAX,RCMADIAX,Unreleased,"April 20, 2017","April 20, 2017","April 20, 2017"
Othello,Board game,Arc System Works,Arc System Works,"April 17, 2013",Unreleased,Unreleased,Unreleased
Outside The Realm,"Puzzle, strategy",TreeFall Studios,TreeFall Studios,Unreleased,"February 11, 2016",Unreleased,Unreleased
Overworld Defender Remix,"Action, adventure",Overworld GalaxyPJ PerrettaJacob Crews,Stereo Chromatic,Unreleased,"August 4, 2016",Unreleased,Unreleased
Pac-Man and the Ghostly Adventures,Platform,Bandai Namco StudiosMonkey Bar Games,Bandai Namco Games,"June 25, 2014","October 29, 2013","November 28, 2013","March 7, 2014"
Pac-Man and the Ghostly Adventures 2,Platform,Bandai Namco StudiosMonkey Bar Games,Bandai Namco Games,"October 14, 2014","October 14, 2014","October 14, 2014","October 14, 2014"
Panda Love,"Arcade, platform",RCMADIAX,RCMADIAX,Unreleased,"September 1, 2016","August 25, 2016","August 25, 2016"
Paparazzi,Party,Pringo Dingo,Pringo Dingo,Unreleased,"February 12, 2015",Unreleased,Unreleased
Paper Mario: Color Splash,Action-adventure,Intelligent Systems,Nintendo,"October 13, 2016","October 7, 2016","October 8, 2016","October 7, 2016"
Paper Monsters Recut,Platform,Mobot Studios,Mobot Studios,Unreleased,"October 16, 2014",Unreleased,"November 13, 2014"
Paranautical Activity,First-person shooter,Digerati,Digerati,Unreleased,"April 14, 2016",Unreleased,"April 21, 2016"
The Peanuts Movie: Snoopy's Grand Adventure,Platform,Beenox,Activision,Unreleased,"November 3, 2015",Unreleased,"November 6, 2015"
Peg Solitaire,"Puzzle, strategy",RCMADIAX,RCMADIAX,Unreleased,"February 4, 2016",Unreleased,Unreleased
Penguins of Madagascar,Action,Little Orbit,Little Orbit,Unreleased,"November 18, 2014",Unreleased,"November 28, 2014"
Pentapuzzle,Puzzle,RCMADIAX,JP: Rainy FrogWW: RCMADIAX,"September 30, 2015","March 19, 2015","May 5, 2016","May 5, 2016"
Percy's Predicament,Platform,Maestro Interactive,Maestro Interactive,Unreleased,"February 6, 2014",Unreleased,Unreleased
Perpetual Blast,Action,Yiannos Efthymiou,Yiannos Efthymiou,Unreleased,"October 8, 2015",Unreleased,Unreleased
The Perplexing Orb,Adventure,TreeFall Studios,TreeFall Studios,Unreleased,"January 14, 2016",Unreleased,Unreleased
Petite Zombies,Arcade,RandomSpin,RandomSpin,Unreleased,"October 11, 2018",Unreleased,"October 11, 2018"
Phineas and Ferb: Quest for Cool Stuff,Platform,Behaviour Interactive,NA: Majesco EntertainmentEU: 505 Games,Unreleased,"August 13, 2013",Unreleased,"March 7, 2014"
Piano Teacher,Simulation,Skunk Software,Skunk Software,Unreleased,"September 1, 2016",Unreleased,Unreleased
Pic-a-Pix Color,Puzzle,Lightwood Games,Lightwood Games,Unreleased,"April 13, 2017",Unreleased,"March 30, 2017"
PictoParty,Party,Retroid Interactive,Retroid Interactive,Unreleased,"October 29, 2015",Unreleased,"January 28, 2016"
Pier Solar and the Great Architects,Role-playing,WaterMelon,WaterMelon,Unreleased,"November 6, 2014",Unreleased,"November 27, 2014"
Pikmin 3,Real-time strategy,Nintendo EAD,Nintendo,"July 13, 2013","August 4, 2013","July 27, 2013","July 26, 2013"
Pinball,Arcadeadventureboard gamestrategypuzzle,RCMADIAX,RCMADIAX,Unreleased,"May 18, 2017","May 18, 2017","May 18, 2017"
The Pinball Arcade,Pinball,FarSight Studios,FarSight Studios,Unreleased,"April 21, 2016",Unreleased,Unreleased
Pinball Breakout,Arcade,nuGAME,nuGAME,Unreleased,"November 3, 2016",Unreleased
Ping 1.5+,Puzzlestrategy,Nami Tentou Mushi,Nami Tentou Mushi,Unreleased,"October 16, 2014",Unreleased,"October 6, 2016"
